stock no,age,year,carline,description,reg no,odometer,colour,list price,loc,dest loc,status,open ro/po
"S5000080","3744","14","ILOAD","TQ2-V MY14 VAN 5DR AUTO 5SP 1098KG 2.5DT","1RZ9CA","120000","GREY/CLOTH","1.00","DANDUSED","","LOANER","N"
"S5006661","1980","16","","H-1 ILOAD 5DR VL3 LWB VAN 2.4LT DOHC MTM 11/07-","1JX6UV","10","GREY/CLOTH","0.00","DANDUSED","","LOANER","N"
"S5009135","1616","20","TUCSON","TL3 MY21 ELITE WAGON 5DR SA 8SP AWD 2.0DT","1SP9FF","73857","SILVER/LEATHER","38990.00","DANDUSED","","LOANER","N"
"S5012810","1120","17","ILOAD","TQ3-V SERIES II MY18 VAN A 5SP 2.5DT","1KI6KH","100","CREAMY WHITE YAC/CLOTH","0.00","DANDUSED","","LOANER","N"
"S5013653","1030","21","STARIA LOAD","US4.V1 MY22 VAN 5DR SA 8SP 1018KG 2.2DT","1XO9WK","31311","WHITE/CLOTH","0.00","DANDUSED","","LOANER","N"
"S5013980","994","16","ILOAD","TQ3 ILOAD 3S LIFTBACK 2.5D AUTO","1HT5QD","30000","CREAMY WHITE YAC","0.00","DHYU","","USED DEMO","Y"
"S5014760","920","23","SANTA FE","TM.V4 MY23 HYBRID HIGHLANDER WAG SA 6SP 1.6T/","CEV861","22393","WHITE/LEATHER","65038.48","DHYU","","LOANER","N"
"S5019495","532","24","TUCSON","NX4.V2 MY24 WAGON 5DR AUTO 6SP 2WD 2.0I","2CO5SC","18427","WHITE CREAM/CLOTH","35311.00","DANDUSED","","LOANER","N"
"S5019688","514","24","TUCSON","NX4.V3 MY25 ELITE N LINE WAG A 6SP 1.6T/37KW","2BX2NV","250","RED/BLACK","0.00","DHYU","","LOANER","N"
"S5021808","352","22","I30","PD.V4 MY22 N LINE PREMIUM HBK D-CT 7SP 1.6T","1VS2DM","67990","BLUE/LEATHER","33990.00","DANDUSED","","LOANER","N"
"S5021898","343","25","SANTA FE","MX5.V1 MY25 HYBRID CALLIGRAPH WAG A 6SP 1.6T/","DUK461","1225","GREY/LEATHER","80990.00","DANDUSED","","LOANER","N"
"S5022489","290","25","SANTA FE","MX5.V1 MY25 HYBRID CALLIGRAPH WAG A 6SP 1.6T/","DQZ408","2500","BRONZE/LEATHER","0.00","DANDUSED","","LOANER","N"
"S5023577","189","24","STARIA","US4.V2 MY24 WAGON 8ST 5DR SA 8SP AWD 2.2DT","1ZY2LG","45275","GREY","44990.00","DANDUSED","","LOANER","N"
"S5024342","122","23","TUCSON","NX4.V2 MY24 HIGHLANDER WAG 5DR SA 8SP 2.0DT","1YQ9IE","91441","GREY/LEATHER","37990.00","DANDUSED","","IN-STOCK","N"
"S5024380","118","21","SANTA FE","TM.V3 MY22 HIGHLANDER WAG DUAL 8SP 2.2DT","BSA706","88890","WHITE/BLACK","37990.00","CRKU","","IN-STOCK","N"
"S5024401","117","21","KONA","OS.V4 MY22 WAGON 5DR CVT 8SP 2WD 452KG 2.0I","1VC4WV","29815","WHITE/BLACK","27967.35","CRKU","","DEAL PEND","N"
"S5024644","94","16","TUCSON","TL MY17 ACTIVE WAG 5DR SA 6SP 506KG 2.0I","1HR8YC","88713","WHITE/LEATHER","20990.00","DANDUSED","","IN-STOCK","N"
"S5024732","90","15","SANTA FE","DM2 MY15 HIGHLANDER WAG SA 6SP 2.2DT","1FR9CB","271000","BLACK","0.00","CRKU","","WHOLESALE","N"
"S5024760","87","24","VENUE","QX.V5 MY25 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AL3VG","18920","ATLAS WHITE/CLOTH","21990.00","DANDUSED","","IN-STOCK","N"
"S5024763","87","24","VENUE","QX.V5 MY25 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2HV","22602","ATLAS WHITE/PARTIAL LEATHER","20990.00","DANDUSED","","IN-STOCK","N"
"S5024776","86","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AL3VO","27160","WHITE/BLACK","21990.00","DAKI","","IN-STOCK","N"
"S5024768","86","21","TUCSON","NX4.V1 MY22 HIGHLANDER WAG 5DR D-CT 7SP 1.6T","BMO678","56264","GREY/LEATHER","33990.00","DANDUSED","","DEAL PEND","N"
"S5024788","86","24","VENUE","QX.V5 MY25 ACTIVE WAGON 5DR AUTO 6SP 1.6I","EEV807","17876","ATLAS WHITE/CLOTH","21990.00","DANDUSED","","DEAL PEND","Y"
"S5024832","84","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AL3YQ","12464","ATLAS WHITE/CLOTH","23990.00","DANDUSED","","IN-STOCK","N"
"S5024835","84","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AL3UO","21409","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","IN-STOCK","N"
"S5024834","84","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AL3VE","23727","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","DEAL PEND","N"
"S5024840","83","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AL3YG","32131","WHITE","20990.00","DAKI","","IN-STOCK","N"
"S5024841","83","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AE4GO","32688","WHITE","20990.00","DAKI","","IN-STOCK","N"
"S5024848","83","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AL3YP","9107","WHITE/BLACK","24990.00","S52USED","","IN-STOCK","N"
"S5024849","83","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AL3YS","25571","WHITE/BLACK","23990.00","S52USED","","IN-STOCK","N"
"S5024850","83","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AL3YO","21167","WHITE/BLACK","23990.00","S52USED","","IN-STOCK","N"
"S5024899","78","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2FX","12398","ATLAS WHITE/CLOTH","23990.00","DANDUSED","","IN-STOCK","N"
"S5024898","78","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2FY","14217","ATLAS WHITE/CLOTH","23990.00","DANDUSED","","DEAL PEND","N"
"S5024907","77","20","VENUE","QX.V3 MY21 ELITE WAGON 5DR AUTO 6SP 1.6I","1TF5YX","102545","BLUE/CLOTH","20990.00","CRKU","","IN-STOCK","N"
"S5024921","75","21","TUCSON","NX4.V1 MY22 HIGHLANDER WAG 5DR D-CT 7SP 1.6T","2FK6JR","84368","BRONZE/LEATHER","32990.00","DANDUSED","","DEAL PEND","N"
"S5024957","72","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AL3YT","11108","WHITE","23990.00","CRKU","","IN-STOCK","N"
"S5024960","71","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4CE","18496","ATLAS WHITE/CLOTH","21990.00","DANDUSED","","IN-STOCK","N"
"S5024962","71","20","KONA","OS.3 MY20 ACTIVE WAG 5DR SA 6SP 447KG 2.0I","2FT9BG","29132","CHALK WHITE/CLOTH","24990.00","DANDUSED","","DEAL PEND","N"
"S5024971","70","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2GC","12871","ATLAS WHITE/CLOTH","23990.00","DANDUSED","","IN-STOCK","N"
"S5024972","70","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2GB","24854","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","DEAL PEND","N"
"S5025004","66","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2A","21665","WHITE/BLACK","22990.00","CRKU","","DEAL PEND","N"
"S5025025","63","17","TUCSON","TL MY17 ACTIVE X WAG 5DR SA 6SP 506KG 2.0I","2FL3PC","152563","WHITE/BLACK","0.00","S52USED","","WHOLESALE","Y"
"S5025037","62","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AL3VM","26462","WHITE/BLACK","21990.00","CRKU","","DEAL PEND","N"
"S5025073","58","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4CG","26878","WHITE/CLOTH","22990.00","CRGE","","IN-STOCK","N"
"S5025076","57","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AL3VN","27635","WHITE/CLOTH","23990.00","FRUSED","","IN-STOCK","N"
"S5025077","57","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AL3VI","33520","WHITE/CLOTH","23990.00","FRUSED","","IN-STOCK","N"
"S5025083","57","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2LG","23179","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","IN-STOCK","N"
"S5025105","55","18","TUCSON","TL3 MY19 HIGHLANDER WAG 5DR D-CT 7SP 1.6T","AUB096","131465","WHITE/BLACK","20990.00","CRKU","","DEAL PEND","N"
"S5025131","54","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AL3VP","23660","WHITE/CLOTH","20990.00","CRKU","","IN-STOCK","N"
"S5025187","45","15","I20","PB MY15 ACTIVE HATCHBACK 3DR AUTO 4SP 1.4I","1EG2NP","136583","WHITE/CLOTH","11990.00","DANDUSED","","IN-STOCK","N"
"S5025196","43","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2KQ","21737","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","IN-STOCK","N"
"S5025197","43","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2HF","20442","ATLAS WHITE/CLOTH","21990.00","DANDUSED","","IN-STOCK","N"
"S5025270","37","24","VENUE","QX.V5 MY25 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2LF","20528","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","IN-STOCK","N"
"S5025271","37","24","VENUE","QX.V5 MY25 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4CI","23528","ATLAS WHITE/CLOTH","20990.00","FRUSED","","IN-STOCK","N"
"S5025273","37","24","VENUE","QX.V5 MY25 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2LE","19203","ATLAS WHITE/CLOTH","21990.00","DANDUSED","","IN-STOCK","N"
"S5025274","37","24","VENUE","QX.V5 MY25 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4CM","18743","ATLAS WHITE/CLOTH","21990.00","DANDUSED","","IN-STOCK","N"
"S5025277","37","24","VENUE","QX.V5 MY25 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2LC","20283","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","IN-STOCK","N"
"S5025276","37","24","VENUE","QX.V5 MY25 WAGON 5DR AUTO 6SP 1.6I","2AQ2LB","14692","ATLAS WHITE/CLOTH","21990.00","DANDUSED","","IN-STOCK","N"
"S5025293","36","26","PALISADE","LX3.V1 MY26 ELITE WAG SA 6SP 2.5T/54KW HYBRID","DZN742","5122","BLUE/LEATHER","73990.00","DANDUSED","","IN-STOCK","N"
"S5025306","35","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4CL","29856","WHITE/BLACK","23990.00","S52USED","","IN-STOCK","N"
"S5025307","35","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4CK","25160","WHITE/BLACK","22990.00","S52USED","","IN-STOCK","N"
"S5025308","35","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2LD","25500","WHITE/BLACK","23990.00","S52USED","","IN-STOCK","N"
"S5025317","35","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4CS","19745","ATLAS WHITE/CLOTH","21990.00","DANDUSED","","IN-STOCK","N"
"S5025318","35","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2BE9FA","21594","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","IN-STOCK","N"
"S5025320","35","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4CN","16521","ATLAS WHITE/CLOTH","21990.00","DANDUSED","","IN-STOCK","N"
"S5025325","34","19","TUCSON","TL4 MY20 ACTIVE X WAGON 5DR AUTO 6SP 2WD 2.0I","1PY5PH","97701","WHITE","20990.00","DAKI","","DEAL PEND","N"
"S5025346","31","22","TUCSON","NX4.V1 MY22 ELITE WAGON 5DR SA 8SP AWD 2.0DT","1VE3QB","80631","GREY/BLACK","29990.00","DAKI","","IN-STOCK","N"
"S5025383","29","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2IC","13917","WHITE","21990.00","DAKI","","DEAL PEND","N"
"S5025384","29","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2IN","25766","WHITE","22590.01","DAKI","","DEAL PEND","Y"
