stock#,carline,description,fa,colour,loc,dest loc,list price,age,age,deal,status,open ro/po
"HY372","I30","GD4 I30 HATCH ACTIVE 1.8P AUTO","","POLAR WHITE","DAHY","","21590.91","","3600","","STOCK SWAP","N"
"HY3446","I30","PD2 I30 HATCH ACTIVE 2.0P AUTO","","FIERY RED","DAHY","","21965.33","","2850","","STOCK SWAP","N"
"320386768","STARIA LOAD","US4.V2 STARIA LOAD 2S 2.2D LIFTBACK AUTO","","CREAMY WHITE","DAHY","","42036.36","","1354","","ON-ORDER","N"
"320401646","STARIA","US4.V2 STARIA LOAD 2S 2.2D LIFTBACK AUTO","","CREAMY WHITE","DAHY","","43102.39","","1056","","LOANER","N"
"320409464","IONIQ","NE.V4 IONIQ 5 ESSENTIAL 2WD 58.0KWH","","ECOTRONIC GREY","DAHY","","61409.09","","867","","LOANER","N"
"320422436","STARIA","US4.V3 STARIA LOAD 2S 2.2D LIFTBACK AT","","SHIMMERING SILVER","DAHY","","48723.93","","738","","LOANER","N"
"320436281","I30","PDE.V6 I30 HATCH N LINE MHEV 1.5T DCT","","ATLAS WHITE","DAHY","","33152.17","","444","","DLR TRADE","N"
"320451622","KONA HEV","SX2.V2 KONA HEV PRM 1.6P DCT","","ECOTRONIC GREY","DAHY","","40086.36","","429","","STOCK SWAP","N"
"320451082","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","25130.30","","428","DH16737","DEAL PEND","N"
"320461551","PALISADE","LX3.V1 PALISADE 7S CAL 2.5T HEV AT AWD","","CREAMY WHITE","DAHY","","80940.25","","331","","DLR TRADE","N"
"320460405","STARIA","US4.V3 STARIA 8S 3.5P AUTO","","SHIMMERING SILVER","DAHY","","46399.44","","316","DH17082","DEAL PEND","N"
"320461139","KONA","SX2.V3 KONA 2.0P CVT","","ABYSS BLACK","DAHY","","31056.63","","315","","DEMO","N"
"320462841","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","25445.23","","296","DH16727","DEAL PEND","N"
"320454039","INSTER","AX.V1 INSTER CROSS SRF 2WD 49 KWH","","ABYSS BLACK","DAHY","","41981.24","","289","","DEMO","Y"
"320462544","PALISADE","LX3.V1 PALISADE 7S CAL 2.5T HEV AT AWD","","CLASSY BLUE","DAHY","","80994.48","","289","","DEMO","N"
"320451065","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","25496.98","","262","","DEMO","N"
"320467855","TUCSON","NX4.V4 TUCSON ELITE 2.0P AT 2WD","","AMAZON GREY","DAHY","","40751.91","","259","","DEMO","N"
"320466468","SANTA FE HEV","MX5.V2 S.FE HEV 7S CAL BLK 1.6T AWD AUTO","","ECOTRONIC GREY","DAHY","","71743.98","","258","","DEMO","N"
"320466207","STARIA","US4.V3 STARIA LOAD 2S 2.2D TSWING AT","","CREAMY WHITE","DAHY","","59609.24","","253","DHF5777","DEAL PEND","N"
